word_id,word_form
братство,братство
братство,братства
братство,братств
братство,братству
братство,братствам
братство,братством
братство,братствами
братство,братстве
братство,братствах
важно,важный
важно,важная
важно,важное
важно,важные
важно,важного
важно,важной
важно,важных
важно,важному
важно,важным
важно,важную
важно,важною
важно,важными
важно,важном
важно,важен
важно,важна
важно,важно
важно,важны
важно,важнейший
важно,важнейшая
важно,важнейшее
важно,важнейшие
важно,важнейшего
важно,важнейшей
важно,важнейших
важно,важнейшему
важно,важнейшим
важно,важнейшую
важно,важнейшими
важно,важнейшем
важно,важнее
важно,важней
воспитание,воспитание
воспитание,воспитания
воспитание,воспитанию
воспитание,воспитанием
воспитание,воспитании
героизм,героизм
героизм,героизма
героизм,героизму
героизм,героизмом
героизм,героизме
герой,герой
герой,герои
герой,героя
герой,героев
герой,герою
герой,героям
герой,героем
герой,героями
герой,герое
герой,героях
гордиться,горжусь
гордиться,гордишься
гордиться,гордится
гордиться,гордимся
гордиться,гордитесь
гордиться,гордятся
гордиться,гордился
гордиться,гордилась
гордиться,гордились
гордиться,гордиться
гордиться,гордись
гордиться,гордящийся
гордиться,гордившийся
гордиться,гордясь
гордость,гордость
гордость,гордости
гордость,гордостью
добро,добро
добро,добра
добро,добру
добро,добром
добро,добре
добро,добрый
добро,добрая
добро,доброе
добро,добрые
добро,доброго
добро,доброй
добро,добрых
добро,доброму
добро,добрым
добро,добрую
добро,доброю
добро,добрыми
добро,добр
добро,добры
добро,добрейший
добро,добрейшая
добро,добрейшее
добро,добрейшие
добро,добрейшего
добро,добрейшей
добро,добрейших
добро,добрейшему
добро,добрейшим
добро,добрейшую
добро,добрейшими
добро,добрейшем
добро,добрее
добро,добрей
долг,долг
долг,долги
долг,долга
долг,долгов
долг,долгу
долг,долгам
долг,долгом
долг,долгами
долг,долге
долг,долгах
друг,друг
друг,друзья
друг,друга
друг,друзей
друг,другу
друг,друзьям
друг,другом
друг,друзьями
друг,друге
друг,друзьях
дружба,дружба
дружба,дружбы
дружба,дружбе
дружба,дружбу
дружба,дружбой
дружба,дружбою
дружить,дружу
дружить,дружишь
дружить,дружит
дружить,дружим
дружить,дружите
дружить,дружат
дружить,дружил
дружить,дружила
дружить,дружили
дружить,дружить
дружить,дружи
дружить,дружащий
дружить,друживший
дружить,дружа
дух,дух
дух,духи
дух,духа
дух,духов
дух,духу
дух,духам
дух,духом
дух,духами
дух,духе
дух,духах
единство,единство
единство,единства
единство,единств
единство,единству
единство,единствам
единство,единством
единство,единствами
единство,единстве
единство,единствах
защитник,защитник
защитник,защитники
защитник,защитника
защитник,защитников
защитник,защитнику
